rating,header,review
1,Банк с подмоченной репутацией,господа админы запретите новорегам писать отзывы о банке мало того что этот крупный банк кидает своих клиентов с программой лояльности так он ещё видимо заставляет своих сотрудников писать положительные отзывы о своём банке где они работают это просто некрасиво и непорядочно тут должны размещаться только отзывы реальных клиентов
н,Кто не дает ипотеку МСХ РФ или банк?,нам одобрили сельскую ипотеку мая документы ушли в мсх рф на согласование и программу приостановили прошло больше месяца томительных ожиданий написали запрос в мсх рф пришел ответ от министерства что лимиты на ипотеку не исчерпаны даже выделены еще в банке ссылаются что нет финансирования в кредитной истории числится что банк ипотеку нам одобрил как же так кто же все таки не хочет выдавать обещанную ипотеку
1,450000 руб. для погашения ипотеки многодетным семьям.,добрый день г в операционном офисе московского рф ао рсхб по адресу г москва й красногвардейский проезд д стр подавал заявление на руб для погашения ипотеки многодетным семьям все необходимые документы и их копии были предоставлены мои реквизиты указаны в заявлении в течение недели сказали позвонят если необходимо еще донести какие нибудь документы со дня подачи заявления никакой информации не поступало постоянно проживаю в другом городе до банка дозвониться невозможно на обращения через сайт получил ответ с искренними извинениями столкнулся с элементарным бездействием банка или отдельных его сотрудников жду отпуск для поездки в офис для повторного решения вопроса
1,Банк отказался выплатить полную сумму процентов по вкладу,г в офисе на проспекте мира д стр мной был открыт вклад доходный на сумму руб коп с процентной ставкой годовых с ежемесячной капитализацией и сроком на дней и соответственно с датой окончания срока вклада г мной были подписаны все предложенные банком документом и полностью соблюдена вся требуемая сотрудником банка процедура оформления вклада в т ч подписано заявление о размещении вклада за в декабре же г я выяснила что проценты на вклад не начисляются писала неоднократные претензии в банк и на банки ру после чего по истечении трех недель после окончания срока вклада г банк все же начислил мне часть процентов на счет в размере руб коп что не соответствует той сумме процентов которая должна была быть мне начислена согласно условиям договора общая сумма процентов которые банк должен был мне начислить составляет руб коп на мое требование в очередной претензии к банку доначислить мне недостающую разницу в размере руб коп банк сегодня прислал отказ при этом расчет предоставленный банком в ответе на мою претензию заканчивается январем г из чего у банка и сложилась сумма р к тогда как срок окончания моего вклада не январь а апрель г а кто мне заплатит за февраль март и апрель ситуация возмутительная банк требит мне нервы с декабря прошлого года вместо того чтобы просто честно выполнить свои обязательства передо мной как вкладчиком я так дело не оставлю буду обращаться в роспотребнадзор прокуратуру и суд делайте выводы господа что значит класть свои сбережения в данный банк
1,Сельская ипотека - то чего на самом деле нет,с самого первого дня запуска программы сельская ипотека пытаемся её взять это все похоже на программу которой нет а есть она только для вешания лапши на уши по тв нам одобрили ипотеку начали собирать справки причём сотрудники сами не знали что именно надо несли что есть просили принести нас документы которые не нужны например делали оценку участка за тысячи а сколько времени потрачено нашли компанию для строительства дома подходящую под все условия банка составили смету и тут началось сотрудница сказала что не дадут ипотеку и даже не стоит отправлять в москву документы так как в смете нет внутренней отделки остальное все есть и коммуникации и окна и входная группа и крыша сами требования нигде не прописаны нигде по словам сотрудницы у них есть какой то внутренний документ но показать его клиентам нельзя времени потрачено полсезона нервов денег и сил все впустую к слову на готовые таунзаусы без отделки очень хренового качества эту ипотеку дают видимо под строителей она и была забахана а не под людей и ещё в нашей области не одобрили ни одну сельскую ипотеку на строительство дома зачем вводить в заблуждение людей планирую связаться с минсельхощразвитием и написать жалобу в правительство очень возмущает вся эта ситуация
1,Банк стал брать комиссию за оплату покупок по карте и нарушать собственные тарифы и правила.,здравствуйте в конце месяца я всегда ожидаю кешбек от любимого теперь уже нет банка но сегодня банк меня прямо удивил нет даже ошарашил со словами кешбек я увидел по моим картам следующие суммы по долларовойкарте итого комиссия доллара по евровой карте итого комиссия евро по рублевой карте банк начислил кешбек р вместоположенных итого что мы имеет на текущий момент вместо обещанного ухудшения программы лояльности с го июляпрограмму лояльности ухудшили задним числом с го мая нарушая собственные правила и условия программы лояльности я уже не говорю озаконности такого поступка банк попросту наплевал на лояльных клиентов и втоптал в грязь своё лицо и репутацию более того за покупки по валютным картам банк ввелнезаконную комиссию которая не оговорена и не указана ни в одном тарифе конечно после такого я буду вынужден закрыть свои карты вбанке ведь ни один банк не берет с клиентов комиссию за покупки по карте банк прямо таки откровенно не просто нарушает все своиправила но и ворует деньги клиентов я жду от банка решения возникшей проблемы и соблюдениясобственных правил и тарифов
1,Нарушены условия начисления кешбэка,очень некрасиво так поступать с клиентами присоединяюсь к оставившим ниже отзывы по невыплате в полном объеме кешбэка банк государственный и если ему все равно на доверие своих клиентов в т ч потенциальных то надо еще нести ответственность перед людьми за право называться государственным считаю что банк подрывает доверие граждан не только к себе но и в целом к государству а в период голосовая по поправкам в конституцию это вообще провокация возможно произошла техническая ошибка в связи с переходом на новые условия и банк примет к сведению народное недовольство и все же выплатит кешбэк в полном объеме по правилам действующим в банке на момент совершения и проведения операций
1,Неверно расчитана сумма кэшбека,сегодня начислили кэшбек по карте хозяина он в раз меньше чем должен быть по моим расчетам знаю что у многих такая проблема надеюсь банк исправит ошибку знаю что со следующего месяца меняется название карты и принцип начисления кэшбека надеюсь что причина ошибки в этом думал оставлять ли карту после изменения категорий это будет зависить от того как разрешиться ситуация
н,JCB и Яндекс.Такси. Проблема с акцией банка.,принял участие в акции оплати покупки картой ао россельхозбанк и получи промокод на скидку в приложении яндекс такси промокод на руб получил в июне хотел воспользоваться им в такси для того чтобы воспользоваться промокодом необходимо привязать карту в качестве главного способа оплаты но привязка карты именно не сработала при этом операции в интернете не запрещены с лимитами все хорошо на карте достаточно средств позвонил в банк отправили в яндекс такси написал им в тех поддержку с их стороны ограничений нет послали в банк выпустивший карту круг замкнулся на чьей стороне ошибка непонятно если проблема не со стороны банка то прошу разобраться с вашим партнером так как акция у вас с ним ситуация когда обе стороны отфутболивают друг к другу согласитесь не очень приятная попробовал привязать карту все ок но с ней не работает промокод согласно условиям акции хотелось бы чтобы вы все таки разобрались со сложившейся ситуацией а не оставили клиента наедине с проблемой
1,"У тебя будут проблемы, если ты из другой области",очень странный несовременный и неклиентоориетированный банк не советую не имела опыта с ним общения но пришлось столкнуться через третьих лиц у меня предстояла сделка по купле продаже недвижимости покупатель был из республики башкирия мы в екатеринбурге покупатель приехал из башкирии с карточкой этого банка хотел снять деньги в банкомате или кассе понимаете сумма немаленькая но увы и ах этот деревенский банк не может выдать деньги по карте ограничение только рублей в день и лимит нельзя поменять а в кассе не видят счета другого региона ну как так что за прошлый век не другая ведь страна соседний регион на горячей линии сказали что с не клиентами вообще не говорят идите в банк покупателю приходится сейчас снимать по тысяч в день и откладывать до нужной сумму поясните пожалуйста представители банка что это такое получается сейчас мы заложники сделки придется ждать недели пока покупатель насобирает сумму он мог бы уже жить там но приходится жить у знакомых и мы рассчитывали на эти деньги и все из за чего из за не налаженной внутрибанковской системы
