,Unnamed: 0,rating,header,review
1001,1001,Без оценки,Отделение,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-test=""responses-message"">
							Мне стало известно, что работники офиса, расположенного по адресу: г.Калуга, ул.Кирова, д.9, на этой неделе обзванивали граждан пожилого возраста и предлагали им прийти в банк для оформления кредита. Указанное противоречит требованиям действующего законодательства, т.к. граждане (особенно пожилые) должны соблюдать режим самоизоляции. Прошу разобраться в данном вопросе.
						</div>"
1017,1017,Без оценки,Сельская ипотека,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-test=""responses-message"">
							Добрый день.<br/><br/>Подали заявку на сельскую ипотеку 06.04.2020 в г.Уфа на Гагарина 19  не было очередей и менеджер обслужили хорошо,но до сих пор не вынесли решение,хотя срок рассмотрения до 10 дней.Очень хочется поскорее узнать результат т.к. дом уже подобран,документы на него готовы. Ждем только решение банка
						</div>"
1023,1023,Без оценки,Банк отказывает в кредитных каникулах!!!,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-full="""">
							Здравствуйте. Я не знаю, как быть в моей сложной ситуации. Я брала ипотеку в Россельхозе, и всё было хорошо, пока не ударила эпидемия с ""добровольной изоляцией"". 27 марта обратилась к экономисту Отделения Россельхозбанк, с просьбой о помощи - мне нужны были всего лишь ипотечные каникулы на период карантина. В данный момент, я лишилась почти всего заработка!!! Работодатель ультимативно предложил написать заявление на отпуск за свой счёт на месяц до 30 апреля и в последующем сохранить рабочее место если буду согласна максимум на официальную часть зар. платы. А Это 22 тыс. руб в месяц! И чтобы не потерять работу, так как, сроки отмены карантина никому не известны, я естественно пошла на эти условия! НО! платить ипотеку, которая составляет 34 500 руб/мес. я не могу до тех пор пока всё не наладится!!! Не от меня это зависит, это форс-мажор, это ситуация непреодолимой силы!!! Я имею абсолютно и кристально положительную историю, ни разу не пропускала даты платежей.. а банк мне ответил, что я не подхожу под требования каникул!!!<br/><br/>Я вот, простите, не понимаю, т.е. когда давали мне ипотеку справка 2 ндфл с мизерной белой зп устраивала, а когда дело коснулось что бы дать мне небольшую отсрочку и помочь ""выплыть"" немного, этой справки, как оказалось недостаточно? Я и не думаю отказываться от своих обязательств и планирую платить дальше согласно договору, очевидно, это намного лучше чем отобрать у меня и моего ребёнка квартиру. Я подготовила кучу бумаг, трудовую с стажем в 17 лет, справки НДФЛ, заявления, паспорта, но этих бумаг оказалось мало. Не понимаю, как доказать ещё, что доход снизился (и не на 30 а на 80%), кто может доказать, что у него чего-то нет? У меня не получается. Я сижу дома на удалёнке за официальную часть, которая вместе с коммунальными платежами меньше кредитного платежа на 15%. Это не доказательство? 22 тысячи - этого хватит на оплату 34500+квартплату и свет? Если вот вообще ничего с ребёнком не кушать, хватит?<br/><br/>Сейчас, по сути, мне нечего терять и я пойду по всем инстанциям, я вас уверяю, что буду писать куда только можно, от Роспотребнадзора до мэрии. Всем-всем вообще. Ведь всегда можно договориться, что я и предлагаю сделать. Если карантин снимут через месяц, пожалуйста, через два, с первой же зарплаты, я готова оплачивать кредит по-прежнему вовремя, никаких проблем в этом не вижу. Но сейчас ситуация с Россельхозбанком - просто провал. Если кто посоветует дополнительно инстанции, в которые можно обратиться, прошу, пишите, буду благодарна. Но вылететь с 6-летним ребёнком на улицу из квартиры, которая и так даётся с таким трудом, это выше грани добра и зла.<br/><br/>Я уж не говорю о страховке, которую банки не вправе втюхивать заёмщикам, но в таком случае РСБ всё решает очень просто - поднимает ставку, и как хотите, так и живите, всё им мало. Мало быть лояльным плательщиком, а не хотите ещё денег содрать с порядочных людей? РСБ -  хочет. Уважаемые топ-топ менеджеры, а подскажите, пожалуйста, где взять денег, чтобы вам заплатить, если моё предприятие полностью закрылось?
						</div>"
1041,1041,Без оценки,Банк удерживает средства,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-full="""">
							Здравствуйте. открыл моментальную карту в рсхб для того чтобы получать средства. 13.04.2020 получил средства на счет переводами от тысячи до 15 твсяч, для оплаты услуг разботы бригады. сам бригадир. переводы были осуществлены от физ лица, физ лицу. счет был заблокирован ссылаясь на фз 115. фин дозор. написал заявление объясняющие получение денежных средств. уже неделю жду ответа. ни смс, ни информирования банком не получаю, счет закрыть не дают. денежнве средства не выдают, а оплату труда совершить уже необходимо.
						</div>"
1048,1048,Без оценки,Банк затягивает решение по ипотеке,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-test=""responses-message"">
							28 марта 2020 года мной была подана заявка на сельскую ипотеку и до сегодняшнего дня ответа никакого нет. На все мои обращения к менеджерам банка ответ один- ждите, ответ будет в течении недели. Сколько ещё ждать? Уже прошло 3 недели! Я оплатила бронь квартиры у застройщика, все сроки бронирования уже вышли,а результата никакого нет! Что делать и куда обращаться?
						</div>"
1054,1054,Без оценки,Дефицит моментальных карт?,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-full="""">
							Еще в конце марта обратилась в отделение оформить моментальную дебетовую карту хозяина, сотрудница меня поняла, и мы даже сначала нашли общий язык и почти перешли к оформлению карты. Однако, после того, как я отказалась от доп.услуг в виде страхования, неожиданно выяснилось, что ""моментальных карт в офисе нет, но мы обязательно закажем, приходите в апреле"".  Заказ именной карты тоже не стала делать, так как со слов сотрудника ""карта долго будет изготовляться"".  Позже, прочитав отзывы о банке, у меня сложилось мнение, что работник меня просто отфутболила. Тем не менее позвонила в апреле в отделение с вопросом, привезли ли карты, на что получила ответ, что карт по-прежнему нет, а 18 апреля при личном посещении, мне сказали, что проблема в коронавирусе, карты не доставляют, сделали уже несколько заявок.<br/><br/>С трудом, конечно, верится, что не было поставок больше двух недель, тем не менее, прошу разобраться с наличием карт в указанном мною офисе.
						</div>"
1061,1061,Без оценки,Почему?,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-full="""">
							Здравствуйте, Россельхозбанк. 16 марта оставил заявку на именную дебетовку Хозяин в отделении банка. Сегодня 17 апреля - карты нет. Поддержка банка сообщила что я могу пользоваться картой т.к. счёт открыт. Это прекрасно, однако полноценно пользоваться картой я не могу. Пополнить телефон, оплатить покупки онлайн, перевести деньги - это виды операций на которые мне приходит отказ, или нужны реквизиты карты. Подскажите, почему вы так долго выпускаете дебетовую карту?Почему, чтобы получить карту нужно писать на banki.ru?P.S. Возможно вы спишите этот случай на короновирус и режим самоизоляции, но я вам отвечу - доставка курьером.С уважением, Николай.
						</div>"
1072,1072,Без оценки,Прошу снизить процентную ставку,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-full="""">
							Добрый день. <br><br>Я являюсь ипотечным заемщиком Вашего банка. Очень Вас прошу рассмотреть мое заявление о снижении процентной ставки действующего кредита. Не могу выйти из сложной финансовой ситуации, два раза подавала документы по программе помощи ипотечным заемщикам (посмотрите, рассматривал ли ДОМ РФ мою последнюю заявку?), год назад были кредитные каникулы,  сейчас ситуация с короновирусом, рефинансирование не могу провести из-за отсутствия дохода.  Какой-то замкнутый круг. Прошу снизить мне процентную ставку, дабы облегчить финансовую нагрузку.
						</br></br></div>"
1077,1077,Без оценки,Ошибочное закрытие вклада банком,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-full="""">
							В понедельник(13.04.2020) на карту пришли деньги в связи с закрытием вклада, не разбираясь кинул их на другой вклад. Во вторник был в банке, заменял карту, никто ничего не сказал. В среду обнаружил на дебетовой карте баланс -1 200 000 руб., попытался разобраться по телефону(обслуживание типа Премиальное) был послан на 3 буквы, поехал в отделение начал разбираться, оказалось, что после ошибки банка был закрыт вклад и было потеряно почти 40 тыс., после чего без предупреждения банком были совершены непонятные манипуляции, в результате которых на дебетовый карте возник миллионный долг. <br/><br/>Сейчас четверг, карту разблокировали, но пока проблема не решена. Все это время с банка ни разу не позвонили и не пытались уладить ситуацию, вот тебе и премиальное обслуживание, если бы сам не обнаружил бы и не поехал бы в отделение банка(хотя у нас самоизоляция и т.п.), то так бы все и осталось?? Прошу исправить всю эту очень странную и неприятную ситуацию, представителя банка связаться со мной.
						</div>"
1078,1078,Без оценки,Прошу установить банкомат в ТЦ,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-full="""">
							Здравствуйте! Надеюсь, что вскоре стану обладателем ""Пенсионной карты"" Вашего банка с опцией  Кэшбэк  5% за покупки в категории ""Аптека"". Спасибо за такой хороший кэшбэк! <br><br>Узнал о ней от своих друзей -  пенсионеров, которые часто ходят в аптеки, совершают покупки, получают кэшбэк.  Плохо что о Вас нет вообще НИКАКОЙ рекламы в гор. Новокузнецк, Кемеровская обл. и тем более о такой  Вашей полезной для пенсионеров Карте. Очень признателен молодой сотруднице отделения Вашего банка Юр-вой Е.С.  за то что быстро оформила мне заявку на  эту карту  15.04.2020г.  <br/><br/>В связи с этим, очень хотелось бы, чтобы ВЫ установили БАНКОМАТ в гор. Новокузнецке, в маг. ""Лента""  по ул. Транспортная, 136. Там ВСЕГДА очень много покупателей, в том числе, и пенсионеров, и есть Аптека. Было бы очень удобно пополнить карту, и тут же расплатиться ей. Спасибо.
						</br></br></div>"
