,Unnamed: 0,rating,header,review
0,5,Оценка:5Проверяется,Благодарность, хотеть поблагодарить сотрудник россельхозбанк отличный отношение клиент июль заехать офис россельхозбанк ул баррикадный год волгоград снять банкомат деньга случиться банкомат захватить карта это вообще входить мой план ситуация карта другой банка карта выдавать отказаться прийтись долго ждать перевыпуск удивить порадовать сотрудник запомнить имя сожаление достаточно оперативно вернуть карта корректно вежливый общаться я успеть рассказать кредитный карта передать мой благодарность пожалуйста 
1,1,Оценка:1Проверяется,"Не могу воспользоваться призом, полученным по акции", принимать участие акция оплатить покупка карта сумма рубль период март май получить промокод рубль поездка яндекс такси получить положить приз период самоизоляция цель предупреждение распространение коронавирусный инфекция передвижение ограничить воспользоваться промокод хотеть именно условие акция использовать промокод возможно октябрь год мочь применить яндекстакси поддержка яндекстакси говорить промокод активировать ничто помочь просить связаться банк разъяснить ситуация просить решить вопрос том усматриваться недобросовестный действие сторона банка партнёр акция также повод обращение фас связь введение заблуждение клиент признак нарушение закон защита конкуренция том мочь совершать покупка карта другой банка ввести заблуждение реклама ваш акция который итог работать том воспользоваться получить приз иметь возможность 
2,1,Оценка:1Проверяется,"Банк меня обманывает клиентов, никому не рекомендую!", повестись реклама дебетовый карта хозяин данный банка банк обещать начислять телекоммуникация нужно оплачивать интернет официальный представитель банка форум подтвердить начислить кешбек май оплатить интернет рубль банк начислить это оправдывать это измениться программа объявить это конец июнь покупка совершить середина май легко задний число банк менять свой условие тот захотеть связаться это банк иметь ввиду лёгкость обмануть считать единица очень такой наплевательский отношение свой клиент 
3,5,Оценка:5Проверяется,Очень лояльное отношение к клиентам, решить супруга взять ипотека узнать самый выгодный предложение россельхозбанк приятно удивить недавно наш небольшой городок открыться офис прийтись пробка ехать километр казань такой жара прислать консультация очередь очень любезно проконсультировать девушка елена б правда немного огорчиться узнать минсельхоз приостановить финансирование нужно подождать возобновление предложение хороший оформить возможность понимать это вино банка обменяться контакт елена договориться неделя созваниваться узнавать статус возобновление финансирование надеяться государство подвести банка спасибо компетентность сотрудник удобство обслуживание 
4,1,Оценка:1Проверяется,"АО ""Россельхозбанк"" не исполняет решение суда", июнь год я мой супруга передать к взыскание исполнтельный лист выдать солнцевский районный суд год москва сегодняшний день июль год деньга указынный я счёт поступить являться нарушение статья закон исполнительный производство ао россельхозбанк решение суд исполнить горячий линия мочь ответить вопрос касаться продукт банка максимум давать номер телефон который никто брать трубка самый отделение помочь дать контакт узнать дело сам сказать исполнить решение суд 
5,5,Оценка:5Проверяется,Рефинансирование кредита. Консультация ., здравствовать обратиться рсхб повод консультация рефинансирование кредит сотрудник банка чеботарев наталья дать подробный консультация ответить интересовать вопрос оказаться полностью довольный отношение к обслуживание спасибо огромный быть постоянно обращаться ваш банк рекомендовать знакомый 
6,5,Оценка:5Проверяется,Отличное обслуживание, добрый день вчера обслуживаться отделение россельхозбанк город верхний пышма пришлый проконсультироваться вклад зайти новый офис очень красивый чистый девочка аккуратный доброжелательный обслуживаться специалист имя марин рассказать условие понятно рассказывать человеческий язык другой банка делать быстро профессионально сразу видно рука отличный руководитель очень приятно обслуживаться итог открыть вклад кредитный карта льготный период очень удобно купить залазить вклад ещё предложить оформить пиф паевой инвестиционный фонд давно думать вложить инвестиция везде сумма огромный условие очень жёсткий сумма начинаться рубль любой время пополнять нужно закрывать очень интересно следить акция дешеветь расти цена вообщий быть обслуживаться банка видеть плюс обслуживание высота народ удобный место спасибо банка 
7,1,Оценка:1Проверяется,Ужасный банк, абсолютно безобразный банк один ужасный обслуживание безграмотный сотрудник который иметь никакой информация визит офис перенаправлять горячий линия который очередь невозможно дозвониться второе банк обманывать клиент менять тариф задний число какой либо предупреждение июнь банк анонсировать сменить тариф программа лояльность свой дебетовый карта июль год выплатить кэшбек май никак предупредить отразить это документ тариф такой поведение допустимый доверие банка закрывать карта дело это банк иметь быть 
8,1,Оценка:1Проверяется,Система МЕДЛЕННЫХ платежей, отправка деньга номер телефон сбп система быстрый платёж логично ожидать платёж быстрый собственно заявить сайт сбп это видимо госбанк отправить сегодня часы время новосибирск платёж скб банк сей пора висеть статус ожидать обработка прошлый час быстрый платёж другой банк уходить доходить моментально 
9,1,Оценка:1Проверяется,стоимость обслуживания зарплатной карты, пытаться тщетно узнать чат горячий линия стоимость обслуживание зарплатный карта том уволиться работа мб подсказать 
